Product Name,Processor Type,RAM,Storage,Display,Price
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop,Intel Celeron,4GB,128GB eMMC,10.1,"34,500 "
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB  256GB SSD 15.6 Inch FHD Display Silver Laptop,AMD Athlon,8GB,256GB SSD,15.6,"46,500 48,900 "
"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop",Core i3,8GB,512GB SSD,15.6,"49,800 53,000 "
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,Ryzen 3,8GB,512GB SSD,15.6,"49,900 "
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,Core i3,4GB,256GB SSD,15.6,"51,400 "
Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027,Ryzen 3,8GB,512GB SSD,15.6,"53,000 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop,Ryzen 3,8GB,512GB SSD,15.6,"53,400 "
HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop,Core i3,4GB,256GB SSD,15.6,"56,500 "
Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,Core i3,8GB,512GB SSD,15.6,"57,000 "
"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024",Core i3,8GB,512GB SSD,15.6,"57,500 "
Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop,Core i3,8GB,256GB SSD,15.6,"60,500 "
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,Core i3,8GB,512GB SSD,15.6,"60,500 "
Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,Ryzen 5,8GB,512GB SSD,15.6,"61,000 64,500 "
Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,Core i3,8GB,512GB SSD,15.6,"61,500 "
Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop,Core i5,8GB,512GB SSD,15.6,"61,500 65,300 "
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop,Core i3,8GB,1TB HDD,15.6,"62,800 "
HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,Core i3,8GB,512GB SSD,15.6,"63,500 "
Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop,Core i3,4GB,256GB SSD,15.6,"63,900 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop,Core i5,4GB,1TB HDD,15.6,"68,500 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA,Core i5,4GB,1TB HDD,15.6,"68,500 "
Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,Core i5,8GB,512GB SSD,15.6,"71,500 "
Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop,Core i5,8GB,256GB SSD,15.6,"73,500 "
Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,Core i5,8GB,512GB SSD,15.6,"76,000 "
Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop,Core i5,8GB,512GB SSD,15.6,"76,000 "
"Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 7530U 8GB RAM, 512GB SSD 14 Inch FHD Display Pure Silver Laptop",Ryzen 5,8GB,512GB SSD,14,"77,000 "
Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop,Core i7,8GB,512GB SSD,14,"82,500 "
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop,Ryzen 7,8GB,512GB SSD,15.6,"83,000 88,000 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y,Core i7,8GB,512GB SSD,15.6,"88,000 "
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,Ryzen 7,8GB,512GB SSD,15.6,"88,500 "
MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop,Core i7,8GB,512GB SSD,15.6,"89,500 "
MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop,Core i7,8GB,512GB SSD,14,"95,000 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop,Core i7,8GB,512GB SSD,15.6,"95,500 "
"Acer Aspire 5 5M-A515-58GM Intel Core i5 1335U 16GB RAM, 512GB SSD 15.6 Inch FHD IPS Display Steel Gray Gaming Laptop",Core i5,16GB,512GB SSD,15.6,"99,500 "
"Acer Swift Go 14 SFG14-71-557P Intel Core i5 13500H 16GB RAM, 512GB SSD 14 Inch 2.8K OLED WQHD Display Sunshiny Gold Laptop",Core i5,16GB,512GB SSD,14,"119,000 "
Gigabyte Gaming G5 KE Intel Core i5 12500H 8GB RAM 512GB SSD 15.6 Inch FHD Display Matte Black Gaming Laptop,Core i5,8GB,512GB SSD,15.6,"146,000 "
Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 11370H 16GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Shadow Black Gaming Laptop #82K100WFIN-3Y,Core i7,16GB,1TB HDD+256GB SSD,15.6,"118,000 "
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,Intel Celeron,8GB,256GB SSD,14,"28,800 "
Chuwi GemiBook XPro Intel Core N100 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,Intel Celeron,8GB,256GB SSD,14,"34,900 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Platinum Grey Laptop,Core N100,4GB,1TB HDD,15.6,"35,000 "
Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop,Intel Celeron,8GB,256GB SSD,15.6,"35,900 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop,Intel Celeron,4GB,1TB HDD,15.6,"36,000 "
Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop (Carry bag not included),Intel Celeron,4GB,1TB HDD,15.6,"37,500 "
HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop,Intel Celeron,4GB,1TB HDD,15.6,"38,500 "
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop,Intel Celeron,4GB,1TB HDD,14,"39,500 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA,Intel Celeron,4GB,1TB HDD,15.6,"40,500 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop,Intel Celeron,4GB,1TB HDD,15.6,"40,500 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,Intel Celeron,4GB,1TB HDD,15.6,"40,500 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,Intel Celeron,4GB,1TB HDD,15.6,"43,500 "
Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop,Core i3,4GB,256GB SSD,14,"44,000 "
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop,Ryzen 3,4GB,1TB HDD,15.6,"46,500 "
Asus D415DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 14 Inch HD Display Slate Grey Laptop,Ryzen 3,4GB,1TB HDD,14,"46,500 "
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop,Intel Celeron,4GB,1TB HDD,15.6,"46,500 "
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA,Ryzen 3,4GB,512GB SSD,15.6,"47,000 "
"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop",Ryzen 3,8GB,1TB HDD,14,"47,900 "
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop,Ryzen 3,12GB,512GB SSD,10.5,"47,900 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA,Core i5,4GB,512GB SSD,15.6,"48,900 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W,Core i3,4GB,512GB SSD,15.6,"48,900 "
Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop,Ryzen 3,8GB,256GB SSD,12,"49,900 "
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop,Core i3,4GB,1TB HDD,15.6,"52,900 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,Core i3,8GB,512GB SSD,15.6,"53,400 "
Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,Core i3,8GB,512GB SSD,15.6,"54,000 "
HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop,Ryzen 3,4GB,1TB HDD,15.6,"55,500 "
MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242,Core i3,8GB,512GB SSD,14,"56,000 "
"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop",Core i3,8GB,256GB SSD,15.6,"56,000 "
HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop,Core i3,4GB,1TB HDD,15.6,"56,500 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop",Core i3,8GB,256GB SSD,14,"56,500 "
Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop,Core i3,8GB,256GB SSD,14,"56,900 "
Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop,Core i3,4GB,1TB HDD,14,"57,000 "
HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop,Core i3,8GB,1TB HDD,14,"57,500 "
HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop,Core i3,8GB,1TB HDD,15.6,"57,500 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,Ryzen 3,8GB,512GB SSD,15.6,"57,500 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop,Ryzen 5,8GB,512GB SSD,14,"57,500 "
HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop,Core i5,8GB,1TB HDD,15.6,"57,500 "
Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB RAM 15.6 Inch FHD Display Pure Silver Laptop,Core i5,8GB,512GB SSD,15.6,"58,000 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop",Core i3,8GB,512GB SSD,15.6,"58,990 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop",Core i3,8GB,512GB SSD,15.6,"58,990 "
Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop,Core i3,8GB,512GB SSD,15.6,"59,500 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 14 Inch FHD Display Arctic Grey Laptop",Core i3,8GB,512GB SSD,14,"59,500 "
"Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop",Core i3,8GB,512GB SSD,15.6,"59,500 "
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop,Core i3,8GB,512GB SSD,15.6,"60,500 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Antiglare Display Arctic Grey Laptop,Core i3,8GB,512GB SSD,14,"61,000 "
Chuwi CoreBook XPro Intel Core i3 1215U 16GB RAM 512GB SSD 15.6 Inch FHD Display Grey Laptop,Core i3,16GB,512GB SSD,15.6,"61,000 "
"Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM, 1TB HDD + 256GB SSD 15.6 Inch FHD Display Indie Black Laptop",Core i5,8GB,1TB HDD+256GB SSD,15.6,"61,800 "
Asus VivoBook 15 K513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Hearty Gold Laptop,Ryzen 3,4GB,512GB SSD,15.6,"61,900 "
Infinix INBOOK X2 Intel Core i5 1155G7 8GB RAM 512GB SSD14 Inch FHD Display Grey Laptop,Core i5,8GB,512GB SSD,14,"61,990 "
"Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U 8GB RAM, 512GB SSD 15.6 Inch FHD LED Display Mixed Black Laptop",Core i5,8GB,512GB SSD,15.6,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Soft Lavender Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Infinite Black Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Star Silver Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7  8GBRAM, 512GB SSD 14 Inch FHD Display Anchor Grey Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Golden Matt Black Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Flowers on Yellow Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Paisley on Lilac Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Azure Blue Laptop",Core i5,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Mountain Blue Laptop",Core i3,8GB,512GB SSD,14,"62,000 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Iris on Ruby Laptop",Core i3,8GB,512GB SSD,14,"62,000 "
"Acer TravelMate P214-54 Intel Core i3 1215U 8GB DDR4, 1TB HDD 14 Inch FHD IPS Display Black Laptop",Core i3,8GB,1TB HDD,14,"62,500 "
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD WV Display Indie Black Laptop,Core i3,8GB,512GB SSD,15.6,"62,800 "
HP ProBook 450 G8 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch HD Display Pike Silver Laptop#1A890AV,Core i3,8GB,256GB SSD,15.6,"63,000 "
MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD14 Inch FHD Display Classic Black Laptop,Core i3,16GB,512GB SSD,14,"63,000 "
MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD 14 Inch FHD Display Urban Silver Laptop,Core i3,16GB,512GB SSD,14,"63,000 "
"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop",Core i3,8GB,512GB SSD,15.6,"63,500 "
"Asus VivoBook S15 S513EA Intel Core i3 1115G4 8GB RAM, 512GB SSD 15.6 Inch FHD OLED Display Indie Black Laptop",Core i5,8GB,512GB SSD,15.6,"63,800 "
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop,Core i3,8GB,512GB SSD,15.6,"64,000 "
Acer TravelMate P214-53 Intel Core i5 1135G7 8GB RAM 1TB HDD 14 Inch FHD Display Black Laptop,Core i3,8GB,1TB HDD,14,"65,500 "
"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop",Core i5,8GB,256GB SSD,15.6,"66,500 "
"Lenovo IdeaPad Slim 3i 15IRU8 Intel Core i3 1305U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop",Core i5,8GB,512GB SSD,15.6,"68,000 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,Core i5,4GB,1TB HDD,15.6,"68,500 "
HP 240 G8 Intel Core i5 1135G7 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop,Core i3,8GB,1TB HDD,14,"68,500 "
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD WV Display Peacock Blue Laptop,Core i3,4GB,1TB,15.6,"68,500 "
Asus VivoBook S15 S513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Indie Black Laptop,Core i3,4GB,512GB SSD,15.6,"69,000 "
Asus VivoBook 15 X1502ZA Intel Core i3 1220P 4GB RAM 512GB SSD 15.6 Inch FHD WV Display Quiet Blue Laptop,Core i3,4GB,512GB SSD,15.6,"69,800 "
ASUS Vivobook 15 X1504VA Intel Core i3 1315U 8GB RAM 256GB SSD 15.6 Inch FHD Display Quiet Blue Laptop,Ryzen 5,8GB,256GB SSD,15.6,"70,500 "
Lenovo IdeaPad Slim 3i 14IRU8 Intel Core i3 1305U 8GB RAM 512GB SSD 14 Inch FHD IPS Display Arctic Grey Laptop,Ryzen 5,8GB,512GB SSD,14,"70,500 "
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop,Core i3,8GB,512GB SSD,15.6,"71,000 "
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Abyss Blue Laptop,Core i3,8GB,512GB SSD,15.6,"71,000 "
Asus VivoBook 14 X1402ZA Intel Core i3 1220P 8GB RAM 512GB SSD 14 Inch FHD Display Terra Cotta Laptop,Ryzen 5,8GB,512GB SSD,14,"71,500 "
"Asus VivoBook 16 X1605ZA Intel Core i3 1215U 8GB RAM, 512GB SSD 16 Inch WUXGA Display Indie Black Laptop",Ryzen 5,8GB,512GB SSD,16,"72,000 "
"MSI Modern 15 B7M AMD Ryzen 5 7530U 8GB RAM, 512GB SSD, 15.6 Inch FHD IPS Display Classic Black Laptop with MSI Backpack",Ryzen 5,8GB,512GB SSD,15.6,"72,500 "
HP 15s-eq3619AU AMD Ryzen 5 5625U 8GB RAM 512GB SSD 15.6 Inch FHD Display Spruce Blue Laptop,Core i5,8GB,512GB SSD,15.6,"73,200 "
Asus VivoBook 15 M1502IA AMD Ryzen 5 4600H 8GB RAM 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop,Ryzen 5,8GB,512GB SSD,15.6,"74,000 "
Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 500GB SSD 15.6 Inch HD Display Black Laptop,Core i5,8GB,500GB SSD,15.6,"74,500 "
"MSI Modern 15 B7M AMD Ryzen 5 7530U 16GB RAM, 512GB SSD, 15.6 Inch FHD IPS Display Classic Black Laptop with MSI Backpack",Core i5,16GB,512GB SSD,15.6,"75,000 "
Lenovo IdeaPad Slim 3i 14IAU7 Core i5 1235U 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop,Core i5,8GB,256GB SSD,14,"75,500 "
Dell Latitude 15-3520 Intel Core i5 1145G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop,Ryzen 7,8GB,256GB SSD,15.6,"76,800 "
